Postal,Beer,Wine,Clusters
AL,1.2,0.22,2
AK,1.31,0.54,0
AZ,1.19,0.38,6
AR,1.07,0.17,2
CA,1.05,0.55,5
CO,1.22,0.46,0
CT,0.89,0.59,5
DE,1.31,0.57,0
FL,1.26,1.0,3
GA,1.21,0.48,0
HI,1.08,0.25,2
ID,1.3,0.53,0
IL,1.05,0.92,3
IN,1.22,0.39,6
IA,1.09,0.25,2
KS,1.42,0.18,1
KY,1.18,0.14,2
LA,1.11,0.18,2
ME,1.5,0.28,1
MD,1.24,0.42,0
MA,0.97,0.37,6
MI,1.02,0.61,5
MN,1.1,0.31,6
MS,1.19,0.37,6
MO,1.41,0.11,1
MT,1.3,0.3,1
NE,1.66,0.45,4
NV,1.46,0.2,1
NH,1.57,0.58,4
NJ,1.72,0.84,7
NM,0.92,0.57,5
NY,1.37,0.32,1
NC,0.91,0.46,5
ND,1.1,0.34,6
OH,1.63,0.25,1
OK,1.28,0.26,2
OR,1.18,0.18,2
PA,1.28,0.49,0
RI,1.35,0.23,1
SC,1.1,0.53,5
SD,1.36,0.24,1
TN,1.53,0.22,1
TX,1.05,0.21,2
UT,1.42,0.28,1
VT,0.7,0.17,8
VA,1.36,0.63,0
WA,1.11,0.43,6
WV,1.09,0.51,5
WI,1.24,0.1,2
WY,1.49,0.31,1
WY,1.45,0.22,1
