State,Postal,Beer,Wine,Spirits
Alabama,AL,1.2,0.22,0.58
Alaska,AK,1.31,0.54,1.16
Arizona,AZ,1.19,0.38,0.74
Arkansas,AR,1.07,0.17,0.6
California,CA,1.05,0.55,0.73
Colorado,CO,1.22,0.46,1
Connecticut,CT,0.89,0.59,0.86
Delaware,DE,1.31,0.57,1.25
District of Columbia,FL,1.26,1,1.64
Florida,GA,1.21,0.48,0.92
Georgia,HI,1.08,0.25,0.64
Hawaii,ID,1.3,0.53,0.75
Idaho,IL,1.05,0.92,0.7
Illinois,IN,1.22,0.39,0.73
Indiana,IA,1.09,0.25,0.73
Iowa,KS,1.42,0.18,0.72
Kansas,KY,1.18,0.14,0.67
Kentucky,LA,1.11,0.18,0.65
Louisiana,ME,1.5,0.28,0.85
Maine,MD,1.24,0.42,0.83
Maryland,MA,0.97,0.37,0.87
Massachusetts,MI,1.02,0.61,0.84
Michigan,MN,1.1,0.31,0.8
Minnesota,MS,1.19,0.37,1.04
Mississippi,MO,1.41,0.11,0.71
Missouri,MT,1.3,0.3,0.83
Montana,NE,1.66,0.45,0.88
Nebraska,NV,1.46,0.2,0.68
Nevada,NH,1.57,0.58,1.15
New Hampshire,NJ,1.72,0.84,1.82
New Jersey,NM,0.92,0.57,0.87
New Mexico,NY,1.37,0.32,0.74
New York,NC,0.91,0.46,0.69
North Carolina,ND,1.1,0.34,0.58
North Dakota,OH,1.63,0.25,1.16
Ohio,OK,1.28,0.26,0.47
Oklahoma,OR,1.18,0.18,0.58
Oregon,PA,1.28,0.49,0.82
Pennsylvania,RI,1.35,0.23,0.61
Rhode Island,SC,1.1,0.53,0.92
South Carolina,SD,1.36,0.24,0.77
South Dakota,TN,1.53,0.22,0.88
Tennessee,TX,1.05,0.21,0.57
Texas,UT,1.42,0.28,0.58
Utah,VT,0.7,0.17,0.46
Vermont,VA,1.36,0.63,0.7
Virginia,WA,1.11,0.43,0.59
Washington,WV,1.09,0.51,0.74
West Virginia,WI,1.24,0.1,0.45
Wisconsin,WY,1.49,0.31,1.16
Wyoming,WY,1.45,0.22,1.1
